　　　　　　　　电影名称　　　　　　　　	    评分    	   评论人数   	短评　　　　　　　　
　　　　　　　　冰川时代　　　　　　　　	   8.6    	  438779  	松鼠才是角儿。　　　
　　　哈利·波特与阿兹卡班的囚徒　　　　	   8.6    	  361644  	不一样的导演，不一样的哈利·波特。
　　　　　　　　海街日记　　　　　　　　	   8.8    	  262880  	是枝裕和的家庭习作。
　　　　　　海边的曼彻斯特　　　　　　　	   8.6    	  340103  	我们都有权利不与自己的过去和解。
　　　　　　　　二十二　　　　　　　　　	   8.7    	  204269  	有一些东西不应该被遗忘。
　　　　　　　　新世界　　　　　　　　　	   8.8    	  213630  	要做就做得狠一点，这样才能活下去。
　　　　　　　　虎口脱险　　　　　　　　	   8.9    	  162700  	永远看不腻的喜剧。　
　　　　　　哈利·波特与密室　　　　　　	   8.6    	  380638  	魔法的密室之门已打开...
　　　　　　　　　房间　　　　　　　　　	   8.8    	  272210  	被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
　　　　　　　　恐怖游轮　　　　　　　　	   8.5    	  540998  	不要企图在重复中寻找已经失去的爱。
　　　　　　　　雨中曲　　　　　　　　　	   9.0    	  142325  	骨灰级歌舞片。　　　
　　　　　　　魔女宅急便　　　　　　　　	   8.6    	  321674  	宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
　　　　　　　　人工智能　　　　　　　　	   8.6    	  301300  	对爱的执着，可以超越一切。
　　　　　　　　惊魂记　　　　　　　　　	   9.0    	  154931  	故事的反转与反转，分裂电影的始祖。
　　　　　　　　奇迹男孩　　　　　　　　	   8.6    	  395871  	世界不完美，爱会有奇迹。
　　　　　　　疯狂的石头　　　　　　　　	   8.4    	  547402  	中国版《两杆大烟枪》。
　　　　　　　　　海洋　　　　　　　　　	   9.1    	  126757  	大海啊，不全是水。　
　　　　　　　　罗生门　　　　　　　　　	   8.8    	  208559  	人生的N种可能性。　
　　　　　　　　燃情岁月　　　　　　　　	   8.8    	  208003  	传奇，不是每个人都可以拥有。
　　　　　　终结者2：审判日　　　　　　	   8.7    	  241798  	少见的超越首部的续集，动作片中的经典。
　　　　　　　　魂断蓝桥　　　　　　　　	   8.8    	  190248  	中国式内在的美国电影。
　　　　　　爱在午夜降临前　　　　　　　	   8.8    	  211530  	所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
　　　　　　穿越时空的少女　　　　　　　	   8.6    	  285097  	爱上未来的你。 　　
　　　　　　　初恋这件小事　　　　　　　	   8.4    	  733434  	黑小鸭速效美白记。　
　　　　　　　　可可西里　　　　　　　　	   8.8    	  200341  	坚硬的信仰。　　　　
　　　　　　　　小偷家族　　　　　　　　	   8.7    	  554835  	我们组成了家。　　　
　　　　　　2001太空漫游　　　　　　	   8.8    	  189650  	现代科幻电影的开山之作，最伟大导演的最伟大影片。
　　　　　　　　绿里奇迹　　　　　　　　	   8.8    	  181746  	天使暂时离开。　　　
　　　　　　　完美陌生人　　　　　　　　	   8.5    	  386567  	来啊，互相伤害啊！　
　　　　　牯岭街少年杀人事件　　　　　　	   8.8    	  175279  	弱者送给弱者的一刀。
　　　　　　　　阿飞正传　　　　　　　　	   8.5    	  341889  	王家卫是一种风格，张国荣是一个代表。
　　　　　　　　无耻混蛋　　　　　　　　	   8.6    	  340801  	昆汀同学越来越变态了，比北野武还杜琪峰。
　　　　　　　　　香水　　　　　　　　　	   8.5    	  406761  	一个单凭体香达到高潮的男人。
　　　　　　　新龙门客栈　　　　　　　　	   8.6    	  304426  	嬉笑怒骂，调风动月。
　　　　　　　谍影重重2　　　　　　　　	   8.6    	  251223  	谁说王家卫镜头很晃？
　　　　　　　　源代码　　　　　　　　　	   8.4    	  585329  	邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
　　　　　　　　谍影重重　　　　　　　　	   8.6    	  300395  	哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
　　　　　　　　猜火车　　　　　　　　　	   8.5    	  331859  	不可猜的青春迷笛。 
　　　　　　　　战争之王　　　　　　　　	   8.6    	  253583  	做一颗让别人需要你的棋子。
